Time; ConsInst; ProdInst; ConsSinceBeg; ProdSinceBeg;
1,0; 295280,91660745046; 6529208,24259864; 295280,91660745046; 6529208,24259864; 
2,0; 581140,3381829179; 6529208,24259864; 876421,2547903684; 1,305841648519728E7; 
3,0; 580459,4432381636; 6529208,24259864; 1456880,6980285319; 1,958762472779592E7; 
4,0; 582908,6131761214; 6529208,24259864; 2039789,3112046532; 2,611683297039456E7; 
5,0; 582461,8548568744; 6529208,24259864; 2622251,1660615276; 3,2646041212993197E7; 
6,0; 583616,5750639257; 6529208,24259864; 3205867,7411254533; 3,9175249455591835E7; 
7,0; 583500,7577524737; 6529208,24259864; 3789368,4988779267; 4,570445769819047E7; 
8,0; 583855,4098714505; 6529208,24259864; 4373223,908749377; 5,223366594078911E7; 
9,0; 585254,3161343177; 6529208,24259864; 4958478,224883695; 5,876287418338775E7; 
10,0; 585650,6880712876; 6529208,24259864; 5544128,912954982; 6,529208242598639E7; 
11,0; 585142,5236973319; 6529208,24259864; 6129271,436652314; 7,182129066858503E7; 
12,0; 587576,9564269817; 6529208,24259864; 6716848,393079296; 7,835049891118367E7; 
13,0; 587579,5852605347; 6529208,24259864; 7304427,97833983; 8,487970715378231E7; 
14,0; 588542,0653647378; 6529208,24259864; 7892970,043704568; 9,140891539638095E7; 
15,0; 588268,7486134518; 6529208,24259864; 8481238,79231802; 9,793812363897958E7; 
16,0; 589263,5819375948; 6529208,24259864; 9070502,374255614; 1,0446733188157822E8; 
17,0; 590542,8253881991; 6529208,24259864; 9661045,199643813; 1,1099654012417686E8; 
18,0; 591618,9195100076; 6529208,24259864; 1,025266411915382E7; 1,175257483667755E8; 
19,0; 590273,3971623854; 6529208,24259864; 1,0842937516316205E7; 1,2405495660937414E8; 
20,0; 591633,7596976592; 6529208,24259864; 1,1434571276013864E7; 1,3058416485197277E8; 
21,0; 592262,7736184426; 6529208,24259864; 1,2026834049632307E7; 1,371133730945714E8; 
22,0; 592996,7766321807; 6529208,24259864; 1,2619830826264488E7; 1,4364258133717006E8; 
23,0; 593220,7468078844; 6529208,24259864; 1,3213051573072372E7; 1,5017178957976872E8; 
24,0; 593448,6367781737; 6529208,24259864; 1,3806500209850546E7; 1,5670099782236737E8; 
25,0; 594350,1727064803; 6529208,24259864; 1,4400850382557027E7; 1,6323020606496602E8; 
26,0; 593904,2372698791; 6529208,24259864; 1,4994754619826905E7; 1,6975941430756468E8; 
27,0; 595283,7662324252; 6529208,24259864; 1,559003838605933E7; 1,7628862255016333E8; 
28,0; 594610,5674649865; 6529208,24259864; 1,6184648953524318E7; 1,8281783079276198E8; 
29,0; 594930,1841292754; 6529208,24259864; 1,6779579137653593E7; 1,8934703903536063E8; 
30,0; 595076,7535667099; 6529208,24259864; 1,73746558912203E7; 1,958762472779593E8; 
31,0; 595035,6088628151; 6529208,24259864; 1,7969691500083115E7; 2,0240545552055794E8; 
32,0; 594678,3820619913; 6529208,24259864; 1,8564369882145107E7; 2,089346637631566E8; 
33,0; 594152,849118944; 6529208,24259864; 1,915852273126405E7; 2,1546387200575525E8; 
34,0; 595412,6226439221; 6529208,24259864; 1,9753935353907973E7; 2,219930802483539E8; 
35,0; 595720,8249892135; 6529208,24259864; 2,0349656178897187E7; 2,2852228849095255E8; 
36,0; 594031,859456934; 6529208,24259864; 2,094368803835412E7; 2,350514967335512E8; 
37,0; 594482,9836275739; 6529208,24259864; 2,1538171021981694E7; 2,4158070497614986E8; 
38,0; 594348,4409822007; 6529208,24259864; 2,2132519462963894E7; 2,481099132187485E8; 
39,0; 594054,7590894277; 6529208,24259864; 2,2726574222053323E7; 2,5463912146134716E8; 
40,0; 593579,5869996271; 6529208,24259864; 2,332015380905295E7; 2,6116832970394582E8; 
41,0; 594412,5020102733; 6529208,24259864; 2,3914566311063226E7; 2,6769753794654447E8; 
