Time; ConsInst; ProdInst; ConsSinceBeg; ProdSinceBeg;
1,0; 6,686492115077044E8; 9,36011973868428E9; 6,686492115077044E8; 9,36011973868428E9; 
2,0; 6,818717071677035E8; 9,360047895473463E9; 1,350520918675408E9; 1,8720167634157745E10; 
3,0; 6,688081296799786E8; 9,360047895473463E9; 2,0193290483553865E9; 2,808021552963121E10; 
4,0; 6,671461473480963E8; 9,360047895473463E9; 2,6864751957034826E9; 3,7440263425104675E10; 
5,0; 6,779585242447772E8; 9,36011973868428E9; 3,36443371994826E9; 4,6800383163788956E10; 
6,0; 6,718377349289194E8; 9,360047895473463E9; 4,036271454877179E9; 5,616043105926242E10; 
7,0; 6,825753790277746E8; 9,36011973868428E9; 4,718846833904954E9; 6,55205507979467E10; 
8,0; 6,693605942183077E8; 9,360047895473463E9; 5,388207428123261E9; 7,488059869342017E10; 
9,0; 6,816033595389234E8; 9,360047895473463E9; 6,069810787662185E9; 8,424064658889363E10; 
10,0; 6,69705551587613E8; 9,360047895473463E9; 6,739516339249798E9; 9,36006944843671E10; 
11,0; 6,699540159757957E8; 9,360047895473463E9; 7,409470355225594E9; 1,0296074237984056E11; 
12,0; 6,823464151660424E8; 9,360047895473463E9; 8,091816770391636E9; 1,1232079027531403E11; 
13,0; 6,703278754199339E8; 9,36011973868428E9; 8,76214464581157E9; 1,216809100139983E11; 
14,0; 6,794239691758116E8; 9,36011973868428E9; 9,441568614987381E9; 1,3104102975268259E11; 
15,0; 6,686031473241723E8; 9,360047895473463E9; 1,0110171762311554E10; 1,4040107764815604E11; 
16,0; 6,873557410015873E8; 9,36011973868428E9; 1,079752750331314E10; 1,4976119738684033E11; 
17,0; 6,6910894704675E8; 9,36011973868428E9; 1,146663645035989E10; 1,591213171255246E11; 
18,0; 6,67201673468004E8; 9,36011973868428E9; 1,2133838123827894E10; 1,6848143686420886E11; 
19,0; 6,754926076219088E8; 9,360047895473463E9; 1,2809330731449802E10; 1,778414847596823E11; 
20,0; 6,655129852436117E8; 9,360047895473463E9; 1,3474843716693415E10; 1,8720153265515576E11; 
21,0; 6,827900811840909E8; 9,360047895473463E9; 1,4157633797877506E10; 1,965615805506292E11; 
22,0; 6,719836093055153E8; 9,36011973868428E9; 1,4829617407183022E10; 2,0592170028931348E11; 
23,0; 6,788894171715459E8; 9,36011973868428E9; 1,5508506824354567E10; 2,1528182002799774E11; 
24,0; 6,689911121483595E8; 9,360047895473463E9; 1,6177497936502926E10; 2,246418679234712E11; 
25,0; 6,715872084543293E8; 9,36011973868428E9; 1,6849085144957254E10; 2,3400198766215546E11; 
26,0; 6,819856567025291E8; 9,36011973868428E9; 1,7531070801659782E10; 2,4336210740083972E11; 
27,0; 6,711357664910197E8; 9,36011973868428E9; 1,8202206568150803E10; 2,52722227139524E11; 
28,0; 6,86051473545752E8; 9,36011973868428E9; 1,8888258041696556E10; 2,6208234687820825E11; 
29,0; 6,66181286053407E8; 9,36011973868428E9; 1,955443932774996E10; 2,7144246661689252E11; 
30,0; 6,830986613975239E8; 9,360047895473463E9; 2,0237537989147484E10; 2,8080251451236597E11; 
31,0; 6,714801982694919E8; 9,36011973868428E9; 2,0909018187416977E10; 2,9016263425105023E11; 
32,0; 6,67273537914173E8; 9,360123355729998E9; 2,157629172533115E10; 2,995227576067802E11; 
33,0; 6,757699124023887E8; 9,360049342292162E9; 2,225206163773354E10; 3,088828069490724E11; 
34,0; 6,653520174673796E8; 9,360123355729998E9; 2,291741365520092E10; 3,1824293030480237E11; 
35,0; 6,83718337919046E8; 9,360123355729998E9; 2,3601131993119965E10; 3,2760305366053235E11; 
36,0; 6,667788776861997E8; 9,360049342292162E9; 2,4267910870806164E10; 3,369631030028245E11; 
37,0; 6,830626968778533E8; 9,360123355729998E9; 2,4950973567684017E10; 3,463232263585545E11; 
38,0; 6,733670891125053E8; 9,360049342292162E9; 2,5624340656796524E10; 3,556832757008467E11; 
39,0; 6,656996019183388E8; 9,360123355729998E9; 2,6290040258714863E10; 3,6504339905657666E11; 
40,0; 6,858254957322408E8; 9,360049342292162E9; 2,6975865754447105E10; 3,7440344839886884E11; 
41,0; 6,70092179698831E8; 9,360049342292162E9; 2,7645957934145935E10; 3,83763497741161E11; 
42,0; 6,784503732660329E8; 9,360123355729998E9; 2,832440830741197E10; 3,93123621096891E11; 
43,0; 6,653725025256387E8; 9,360123355729998E9; 2,8989780809937607E10; 4,02483744452621E11; 
44,0; 6,817689626878501E8; 9,360049342292162E9; 2,9671549772625458E10; 4,1184379379491315E11; 
45,0; 6,703760768427329E8; 9,360123355729998E9; 3,034192584946819E10; 4,212039171506431E11; 
46,0; 6,714155322736322E8; 9,360123355729998E9; 3,101334138174182E10; 4,305640405063731E11; 
47,0; 6,843646379644048E8; 9,360049342292162E9; 3,1697706019706226E10; 4,399240898486653E11; 
48,0; 6,698557779033949E8; 9,360123355729998E9; 3,2367561797609623E10; 4,4928421320439526E11; 
49,0; 6,853873750911018E8; 9,360123355729998E9; 3,3052949172700726E10; 4,5864433656012524E11; 
50,0; 6,658757716579729E8; 9,360123355729998E9; 3,37188249443587E10; 4,680044599158552E11; 
51,0; 6,823742004551768E8; 9,360049342292162E9; 3,440119914481387E10; 4,773645092581474E11; 
52,0; 6,67536452547815E8; 9,360049342292162E9; 3,506873559736169E10; 4,867245586004396E11; 
53,0; 6,654977296213017E8; 9,360123355729998E9; 3,573423332698299E10; 4,9608468195616956E11; 
54,0; 6,824763561198139E8; 9,360049342292162E9; 3,64167096831028E10; 5,0544473129846173E11; 
55,0; 6,720276107191306E8; 9,360123355729998E9; 3,708873729382193E10; 5,148048546541917E11; 
56,0; 6,819899112544805E8; 9,360123355729998E9; 3,777072720507641E10; 5,241649780099217E11; 
57,0; 6,648269922590454E8; 9,360049342292162E9; 3,843555419733546E10; 5,3352502735221387E11; 
58,0; 6,816965443817022E8; 9,360049342292162E9; 3,9117250741717155E10; 5,4288507669450604E11; 
59,0; 6,671206166283745E8; 9,360049342292162E9; 3,978437135834553E10; 5,522451260367982E11; 
60,0; 6,707749206757531E8; 9,360049342292162E9; 4,045514627902128E10; 5,616051753790903E11; 
61,0; 6,810170031057229E8; 9,444126207190619E9; 4,1136163282127E10; 5,71049301586281E11; 
62,0; 6,701831238289529E8; 9,444050482876257E9; 4,1806346405955956E10; 5,804933520691572E11; 
63,0; 6,816874028590965E8; 9,444050482876257E9; 4,248803380881505E10; 5,899374025520334E11; 
64,0; 6,65486309203457E8; 9,444126207190619E9; 4,315352011801851E10; 5,993815287592241E11; 
65,0; 6,824995699227906E8; 9,444126207190619E9; 4,38360196879413E10; 6,088256549664148E11; 
66,0; 6,708086614982224E8; 9,444126207190619E9; 4,450682834943952E10; 6,182697811736055E11; 
67,0; 6,660018883785834E8; 9,444050482876257E9; 4,517283023781811E10; 6,277138316564817E11; 
68,0; 6,796860292632741E8; 9,444050482876257E9; 4,585251626708138E10; 6,371578821393579E11; 
69,0; 6,709844402433859E8; 9,444126207190619E9; 4,652350070732477E10; 6,466020083465486E11; 
70,0; 6,90110205120313E8; 9,444126207190619E9; 4,721361091244508E10; 6,560461345537393E11; 
71,0; 6,684038071003368E8; 9,444126207190619E9; 4,788201471954542E10; 6,654902607609299E11; 
72,0; 6,808470116408223E8; 9,444126207190619E9; 4,856286173118624E10; 6,749343869681206E11; 
73,0; 6,702841877124946E8; 9,444050482876257E9; 4,9233145918898735E10; 6,843784374509968E11; 
74,0; 6,672418954833864E8; 9,444126207190619E9; 4,990038781438212E10; 6,938225636581875E11; 
75,0; 6,801220997200837E8; 9,444126207190619E9; 5,05805099141022E10; 7,032666898653782E11; 
76,0; 6,659255615343301E8; 9,444126207190619E9; 5,1246435475636536E10; 7,127108160725688E11; 
77,0; 6,82286449650468E8; 9,444126207190619E9; 5,1928721925287E10; 7,221549422797595E11; 
78,0; 6,722355907043079E8; 9,444126207190619E9; 5,260095751599131E10; 7,315990684869502E11; 
79,0; 6,798848328210331E8; 9,444126207190619E9; 5,328084234881234E10; 7,410431946941409E11; 
80,0; 6,65541292040403E8; 9,444126207190619E9; 5,3946383640852745E10; 7,504873209013315E11; 
81,0; 6,70750802888333E8; 9,444126207190619E9; 5,461713444374108E10; 7,599314471085222E11; 
82,0; 6,85156234997609E8; 9,444126207190619E9; 5,530229067873869E10; 7,693755733157129E11; 
83,0; 6,664765518512592E8; 9,444126207190619E9; 5,596876723058995E10; 7,788196995229036E11; 
84,0; 6,850915802547555E8; 9,444050482876257E9; 5,66538588108447E10; 7,882637500057798E11; 
85,0; 6,677203662702636E8; 9,444126207190619E9; 5,732157917711497E10; 7,977078762129705E11; 
86,0; 6,816018551092962E8; 9,444126207190619E9; 5,8003181032224266E10; 8,071520024201611E11; 
87,0; 6,654906613026205E8; 9,444050482876257E9; 5,8668671693526886E10; 8,165960529030374E11; 
88,0; 6,710368633708405E8; 9,444126207190619E9; 5,933970855689773E10; 8,26040179110228E11; 
89,0; 6,885965127625358E8; 9,444050482876257E9; 6,002830506966026E10; 8,354842295931042E11; 
90,0; 6,694250799336871E8; 9,444126207190619E9; 6,069773014959395E10; 8,449283558002949E11; 
91,0; 6,835950649446733E8; 9,444126207190619E9; 6,138132521453862E10; 8,543724820074856E11; 
92,0; 6,648239971950722E8; 9,444050482876257E9; 6,204614921173369E10; 8,638165324903618E11; 
93,0; 1,614716457958143E8; 9,360128264204712E9; 6,22076208575295E10; 8,731766607545665E11; 
94,0; 1,4933229410191393E8; 2,4012826420483786E8; 6,235695315163142E10; 8,734167890187714E11; 
95,0; 1,4837367563733265E8; 2,4012826420483786E8; 6,2505326827268745E10; 8,736569172829762E11; 
96,0; 1,6262057350927523E8; 9,360128264204712E9; 6,266794740077802E10; 8,830170455471809E11; 
97,0; 1,5038708969948885E8; 2,4012826420483786E8; 6,281833449047751E10; 8,832571738113857E11; 
98,0; 1,661095094717058E8; 9,360128264204712E9; 6,298444399994921E10; 8,926173020755905E11; 
